School,SCHID,LEA,class,dindex,pctwhite,pctblack,schoolsum,pctlatinx
Wakefield High,00111,ARLINGTON CO PBLC SCHS,alg2,0.7347638255196279,0.25821596244131456,0.19248826291079812,426,0.38497652582159625
Wakefield High,00111,ARLINGTON CO PBLC SCHS,enr,0.7053936994865221,0.2185089974293059,0.2,1945,0.4442159383033419
Washington-Lee High,00112,ARLINGTON CO PBLC SCHS,alg11112,0.8903524385902457,0.12500000000000003,0.12500000000000003,53,NA
Washington-Lee High,00112,ARLINGTON CO PBLC SCHS,alg10910,0.8769148078473529,0.14084507042253522,0.13380281690140844,244,NA
Washington-Lee High,00112,ARLINGTON CO PBLC SCHS,chem,0.6281668209746651,0.5573394495412844,0.06651376146788991,436,0.2018348623853211
Washington-Lee High,00112,ARLINGTON CO PBLC SCHS,bio,0.7084015009642094,0.4287598944591029,0.08839050131926122,758,0.28100263852242746
Washington-Lee High,00112,ARLINGTON CO PBLC SCHS,gate,0.5915998913959106,0.6029023746701847,0.059366754617414245,758,NA
Washington-Lee High,00112,ARLINGTON CO PBLC SCHS,apany,0.6543356208897708,0.5236886632825719,0.07191201353637902,1182,0.21996615905245348
Washington-Lee High,00112,ARLINGTON CO PBLC SCHS,alg2,0.692788279773157,0.45652173913043476,0.0891304347826087,460,0.2717391304347826
Washington-Lee High,00112,ARLINGTON CO PBLC SCHS,enr,0.6965329266314538,0.423728813559322,0.08657810352725609,2183,0.31699496106275765
Yorktown High,00115,ARLINGTON CO PBLC SCHS,alg11112,0.890625,0.125,0.125,16,NA
Yorktown High,00115,ARLINGTON CO PBLC SCHS,alg10910,0.8853220408442046,0.36363636363636365,0.16883116883116883,121,NA
Yorktown High,00115,ARLINGTON CO PBLC SCHS,chem,0.5508232506231532,0.6430155210643016,0.05321507760532151,451,0.14412416851441243
Yorktown High,00115,ARLINGTON CO PBLC SCHS,bio,0.5398606362141096,0.6485671191553545,0.06033182503770739,663,0.1689291101055807
Yorktown High,00115,ARLINGTON CO PBLC SCHS,gate,0.41720615625919044,0.7524752475247525,0.02574257425742574,505,NA
Yorktown High,00115,ARLINGTON CO PBLC SCHS,apany,0.47478833742570004,0.7087912087912088,0.04212454212454213,1092,0.10073260073260074
Yorktown High,00115,ARLINGTON CO PBLC SCHS,alg2,0.5289828449911609,0.6611226611226612,0.0582120582120582,481,0.14760914760914762
