LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_FTETEACH_TOT,SCH_FTETEACH_CERT,SCH_FTETEACH_NOTCERT,SCH_FTETEACH_FY,SCH_FTETEACH_SY,SCH_TEACHERS_CURR_TOT,SCH_TEACHERS_PREV_TOT,SCH_FTETEACH_ABSENT,SCH_FTECOUNSELORS,SCH_FTESECURITY_LEO,SCH_FTESECURITY_GUA,SCH_FTESERVICES_NUR,SCH_FTESERVICES_PSY,SCH_FTESERVICES_SOC
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,00045,John Adams Elementary,510012000045,No,97,84,13,3,9,97,73,51,2,0,1,2,1,1
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,00047,Lyles-Crouch Elementary,510012000047,No,40.62,40.62,0,1,2,40,33,22,1,0,0,1,0.6,1
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,00048,Maury Elementary,510012000048,No,26.33,25.33,1,3,0,39,31,16,1,0,0,1,0.6,1
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,00050,Mount Vernon Elementary,510012000050,No,69.25,62.25,7,2,4,78,60,33,1.8,0,0,1,1,1
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,00052,Patrick Henry Elementary,510012000052,No,53.5,47.5,6,4,6,59,45,14,1.4,0,0,1,1,1
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,00054,T.C. Williams High,510012000054,No,396,382.47,13.53,14,10,348,289,171,17.5,3,21,3,3.3,6.5
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,00055,William Ramsay Elementary,510012000055,No,72.83,66.93,5.9,4,5,79,64,25,2,0,0,1,1,1
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,01826,Cora Kelly Magnet Elementary,510012001826,No,31.16,28.16,3,6,3,49,39,14,1,0,0,1,1,1
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,02549,Samuel W. Tucker Elementary,510012002549,No,62.2,54.51,7.69,0,1,69,59,41,1.6,0,0,1,1,1
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,02999,George Washington Middle,510012002999,No,124.6,111.8,12.8,8,4,124,88,68,7,1,6,1,1.2,2
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,03016,Francis C. Hammond Middle,510012003016,No,147,134.08,12.92,5,5,142,119,80,10,1,6,1,1,2
VA,VIRGINIA,5100152,ALLEGHANY CO PBLC SCHS,01883,Alleghany High,510015201883,No,52.92,51.92,1,3,5,56,42,41,3,1,0,1,0,0
VA,VIRGINIA,5100152,ALLEGHANY CO PBLC SCHS,01885,Callaghan Elementary,510015201885,No,17.5,17.5,0,0,0,18,14,9,0.5,1,0,0.5,0,0
VA,VIRGINIA,5100152,ALLEGHANY CO PBLC SCHS,01888,Clifton Middle,510015201888,No,51,51,0,4,4,51,42,30,1.8,1,0,1,0,0
VA,VIRGINIA,5100152,ALLEGHANY CO PBLC SCHS,01891,Sharon Elementary,510015201891,No,19.6,19.6,0,0,0,20,20,12,0.5,0.5,0,0.5,0,0
VA,VIRGINIA,5100152,ALLEGHANY CO PBLC SCHS,01938,Mountain View Elementary,510015201938,No,42,42,0,2,0,42,36,25,1.2,0,0,1,0,0
VA,VIRGINIA,5100180,AMELIA CO PBLC SCHS,00062,Amelia County Elementary,510018000062,No,47,47,0,1,1,47,43,15,1,1,1,1,1,0
VA,VIRGINIA,5100180,AMELIA CO PBLC SCHS,00063,Amelia County Middle,510018000063,No,41,40,1,2,1,41,36,14,2,1,2,1,1,0
VA,VIRGINIA,5100180,AMELIA CO PBLC SCHS,01828,Amelia County High,510018001828,No,45,44,1,1,0,44,40,18,2,1,2,1,1,0
VA,VIRGINIA,5100210,AMHERST CO PBLC SCHS,00010,Madison Heights Elementary,510021000010,No,39.42,38.42,1,1,0,37,36,38,1,0,0,1,0.33,0
VA,VIRGINIA,5100210,AMHERST CO PBLC SCHS,00064,Amelon Elementary,510021000064,No,38,36,2,0,0,35,35,34,1,0,0,1,0.25,0
VA,VIRGINIA,5100210,AMHERST CO PBLC SCHS,00065,Amherst County High,510021000065,No,107.73,103.73,4,3,0,95,91,74,4,1,0,1,0.33,0
VA,VIRGINIA,5100210,AMHERST CO PBLC SCHS,00066,Amherst Middle,510021000066,No,35.32,31.32,4,2,0,30,29,21,1,1,0,1,0.33,0
VA,VIRGINIA,5100210,AMHERST CO PBLC SCHS,00067,Amherst Elementary,510021000067,No,24,24,0,0,0,25,24,24,0.5,0,0,1,0.33,0
VA,VIRGINIA,5100210,AMHERST CO PBLC SCHS,00068,Central Elementary,510021000068,No,23.36,22.36,1,0,0,30,31,23,1,0,0,1,0.33,0
VA,VIRGINIA,5100210,AMHERST CO PBLC SCHS,00069,Elon Elementary,510021000069,No,27,26,1,0,0,24,25,22,1,0,0,1,0.33,0
VA,VIRGINIA,5100210,AMHERST CO PBLC SCHS,00072,Monelison Middle,510021000072,No,44.28,43.28,1,1,0,43,41,35,2,1,0,1,0.25,0
VA,VIRGINIA,5100210,AMHERST CO PBLC SCHS,00075,Temperance Elementary,510021000075,No,8.42,8.42,0,0,0,8,8,7,0.5,0,0,1,0.25,0
VA,VIRGINIA,5100240,APPOMATTOX CO PBLC SCHS,00076,Appomattox County High,510024000076,No,59,59,0,5,6,59,41,4,3,1,0,1,0,0
VA,VIRGINIA,5100240,APPOMATTOX CO PBLC SCHS,00077,Appomattox Elementary,510024000077,No,40,40,0,3,1,40,27,6,1,1,0,1,0,0
VA,VIRGINIA,5100240,APPOMATTOX CO PBLC SCHS,00078,Appomattox Middle,510024000078,No,42,42,0,2,3,42,29,12,1,1,0,1,0,0
VA,VIRGINIA,5100240,APPOMATTOX CO PBLC SCHS,00079,Appomattox Primary,510024000079,No,38,38,0,3,1,40,33,9,1,1,0,1,0,0
VA,VIRGINIA,5100256,CODERVA REGIONAL HIGH SCHOOL,03031,CodeRVA Regional High,510025603031,No,4,4,0,0,0,4,0,0,1,0,0,0,0,0
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,00013,Randolph Elementary,510027000013,No,39.4,39.4,0,10,5.5,49,36,22.7,1,0.25,0.5,0,0,0
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,00081,Abingdon Elementary,510027000081,No,50,49,1,6,2,58,52,28,1.6,0.33,0,0,0,0
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,00082,Ashlawn Elementary,510027000082,No,50.9,50.9,0,14.8,5,60,48,28.2,1.2,0.33,0,0,0,0
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,00083,Barcroft Elementary,510027000083,No,45.1,45.1,0,3,1,56,53,16.7,1,0.25,0,0,0,0
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,00084,Barrett Elementary,510027000084,No,51.1,51.1,0,9,3.4,61,54,28.9,1.2,0.25,0,0,0,0
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,00087,Drew Model Elementary,510027000087,No,55.2,53.2,2,9,8,64,55,27.6,1,0.25,1,0,0,0
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,00090,Francis Scott Key Elementary,510027000090,No,56.3,56.3,0,6,6,62,56,38,1,0.25,0,0,0,0
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,00092,Glebe Elementary,510027000092,No,43,43,0,2,3,50,48,27,1.2,0.25,0,0,0,0
