School,SCHID,LEA,dindex_alg11112,pctwhite_alg11112,pctblack_alg11112,schoolsum_alg11112,dindex_alg10910,pctwhite_alg10910,pctblack_alg10910,schoolsum_alg10910,dindex_alg108,pctwhite_alg108,pctblack_alg108,schoolsum_alg108,dindex_chem,pctwhite_chem,pctblack_chem,pctlatinx_chem,schoolsum_chem,dindex_bio,pctwhite_bio,pctlatinx_bio,schoolsum_bio,pctblack_bio,dindex_gate,pctwhite_gate,schoolsum_gate,pctblack_gate,dindex_apany,pctwhite_apany,pctlatinx_apany,schoolsum_apany,pctblack_apany,dindex_alg2,pctwhite_alg2,schoolsum_alg2,pctlatinx_alg2,pctblack_alg2,dindex_enr,pctwhite_enr,pctblack_enr,pctlatinx_enr,schoolsum_enr
Bland County High,03009,BLAND CO PBLC SCHS,0,1,0,1,0,1,0,19,0.31999999999999984,0.8,0,15,0.12444444444444436,0.9333333333333333,0,0,15,0.02105024898143948,0.9893617021276596,0.010638297872340425,94,0,0,1,34,0,NA,NA,NA,NA,NA,0.05709342560553643,0.9705882352941176,34,0.029411764705882353,0,0.06618083155519483,0.9660574412532638,0,0.010443864229765013,383
James River High,00171,BOTETOURT CO PBLC SCHS,0.9958376690946931,0.11111111111111112,0,31,0.9608796419628111,0.29508196721311475,0.01092896174863388,274,NA,NA,NA,NA,0.04059942608141154,0.979381443298969,0,0,97,0.9681161905969234,0.17837235228539577,0.004459308807134894,897,0.0033444816053511705,0.9943621940849632,0.07508532423208192,879,0,0.9979612316559349,0.0451527224435591,0,753,0,0.9772631781656483,0.1506276150627615,478,0,0.0020920502092050207,0.9614049841422082,0.19634703196347034,0.0034246575342465756,0.0022831050228310505,2628
Lord Botetourt High,00172,BOTETOURT CO PBLC SCHS,0.5,0.5,0,2,0.5444994565873686,0.8026315789473685,0.03947368421052632,91,NA,NA,NA,NA,0.11324315822585718,0.9411764705882353,0.0213903743315508,0.0106951871657754,187,0.1575217192501146,0.9166666666666666,0.030864197530864196,324,0.027777777777777776,0.07249541444667662,0.9626168224299065,107,0,0.16032123735871495,0.9146341463414634,0.04878048780487805,82,0,0.21867768595041304,0.8818181818181818,110,0.02727272727272727,0.03636363636363636,0.17530432708294175,0.9068441064638784,0.021863117870722433,0.028517110266159697,1052
Breaking Barriers Alternative Ed/Henry Co,02369,BREAKING BARRIERS ALTERNATIVE ED/HENRY CO,NaN,NaN,NaN,0,0,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4444444444444445,0.3333333333333333,0,3,0.6666666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2777777777777777,0.16666666666666666,0.8333333333333334,0,12
Virginia High,00179,BRISTOL CITY PBLC SCHS,0.514792899408284,0.9,0.10000000000000002,13,0.5223638574838972,0.8145161290322581,0.16129032258064516,149,NA,NA,NA,NA,0.33838383838383845,0.803030303030303,0.12121212121212123,0.015151515151515152,66,0.31097600000000025,0.82,0.02,250,0.124,NA,NA,NA,NA,0.42451894465383855,0.7464788732394366,0.014084507042253521,71,0.056338028169014086,0.24040811988521626,0.865979381443299,97,0.010309278350515464,0.09278350515463918,0.3341254437869823,0.8061538461538461,0.11846153846153848,0.021538461538461538,650
Brunswick High,00183,BRUNSWICK CO PBLC SCHS,0.5918367346938777,0.3333333333333333,0.6666666666666666,14,0.5841906721536351,0.17857142857142855,0.8095238095238095,108,NA,NA,NA,NA,0.4533333333333334,0.23333333333333334,0.7,0.03333333333333333,30,0.3507699646695786,0.18532818532818535,0.02316602316602317,259,0.7837837837837838,0.5066162570888468,0.6086956521739131,23,0.34782608695652173,NA,NA,NA,NA,NA,0.5303999999999999,0.42,100,0.04,0.54,0.3053841478015805,0.1609442060085837,0.8175965665236051,0.015021459227467811,466
Council High,00193,BUCHANAN CO PBLC SCHS,NaN,NaN,NaN,0,0,1,0,21,NA,NA,NA,NA,0,1,0,0,19,0,1,0,19,0,0,1,16,0,NA,NA,NA,NA,NA,0,1,12,0,0,0,1,0,0,135
Grundy High,00198,BUCHANAN CO PBLC SCHS,0,1,0,2,0.029843893480257178,0.9848484848484849,0,66,NA,NA,NA,NA,0.02325259515570921,0.9882352941176471,0,0,85,0.031029851155395916,0.9842931937172775,0,191,0,0,1,64,0,NA,NA,NA,NA,NA,0.033323757540936416,0.9830508474576272,59,0,0,0.01926430389292111,0.9902912621359223,0,0,412
Hurley High,00200,BUCHANAN CO PBLC SCHS,NaN,NaN,NaN,0,0.14437499999999992,1,0,40,0.14266117969821668,1,0,27,0,1,0,0,20,0,1,0,65,0,0,1,23,0,NA,NA,NA,NA,NA,0,1,23,0,0,0.008771759591686301,0.9955947136563876,0.004405286343612335,0,227
Twin Valley High,01947,BUCHANAN CO PBLC SCHS,0.6734693877551021,1,0,7,0.08317580340264641,0.9565217391304348,0,23,0,1,0,20,0.11072664359861584,0.9411764705882353,0,0.058823529411764705,17,0.08317580340264641,0.9565217391304348,0,46,0,0,1,20,0,NA,NA,NA,NA,NA,0,1,17,0,0,0.05954631379962205,0.9695652173913043,0.004347826086956523,0.008695652173913044,230
