School,SCHID,course,trackedness,dindex,pctblack,pctlatinx,pctwhite,schpctblack,schpctlatinx,schpctwhite,id,LEA,schoolsum,division,d_index,urban,mostly,rural,Expenditure_per_pupil,census,pct_frpl,schpop,discrepancy_black,discrepancy_latinx
Thomas Dale High,00350,apany,2.5384615384615383,0.6184760294650403,0.23076923076923078,0.08571428571428572,0.5604395604395604,0.32117098005939754,0.13406873143826897,0.46754348748408997,21,CHESTERFIELD CO PBLC SCHS,455,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,2357,-0.09040174929016676,-0.04835444572398326
Thomas Dale High,00350,alg2,2.5384615384615383,0.638018420283456,0.2992518703241896,0.11471321695760599,0.5062344139650873,0.32117098005939754,0.13406873143826897,0.46754348748408997,21,CHESTERFIELD CO PBLC SCHS,401,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,2357,-0.021919109735207942,-0.019355514480662986
James River High,00766,alg11112,2.5384615384615383,0.8147762747138397,0.16666666666666666,0,0,0.12100456621004567,0.15487062404870627,0.44863013698630144,21,CHESTERFIELD CO PBLC SCHS,31,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,2628,0.04566210045662099,-0.15487062404870627
James River High,00766,alg10910,2.5384615384615383,0.9457083488731418,0.15300546448087432,0,0.14754098360655737,0.12100456621004567,0.15487062404870627,0.44863013698630144,21,CHESTERFIELD CO PBLC SCHS,274,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,2628,0.03200089827082865,-0.15487062404870627
James River High,00766,chem,2.5384615384615383,0.4914613086264083,0.112565445026178,0.10209424083769633,0.693717277486911,0.12100456621004567,0.15487062404870627,0.44863013698630144,21,CHESTERFIELD CO PBLC SCHS,382,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,2628,-0.008439121183867665,-0.05277638321100994
James River High,00766,bio,2.5384615384615383,0.7435437585212196,0.12374581939799331,0.15496098104793757,0.463768115942029,0.12100456621004567,0.15487062404870627,0.44863013698630144,21,CHESTERFIELD CO PBLC SCHS,897,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,2628,0.0027412531879476426,9.03569992312947e-5
James River High,00766,gate,2.5384615384615383,0.5325371032601169,0.09897610921501707,0,0.6700796359499431,0.12100456621004567,0.15487062404870627,0.44863013698630144,21,CHESTERFIELD CO PBLC SCHS,879,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,2628,-0.022028456995028603,-0.15487062404870627
James River High,00766,apany,2.5384615384615383,0.4771881927800087,0.09030544488711821,0.0650730411686587,0.7118193891102258,0.12100456621004567,0.15487062404870627,0.44863013698630144,21,CHESTERFIELD CO PBLC SCHS,753,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,2628,-0.03069912132292746,-0.08979758288004758
James River High,00766,alg2,2.5384615384615383,0.6703270250870959,0.100418410041841,0.10669456066945607,0.5523012552301255,0.12100456621004567,0.15487062404870627,0.44863013698630144,21,CHESTERFIELD CO PBLC SCHS,478,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,2628,-0.020586156168204667,-0.048176063379250206
Carver College and Career Academy,01605,alg11112,2.5384615384615383,0.4444444444444444,0.6666666666666666,0,0,0.43873517786561267,0.1541501976284585,0.3359683794466403,21,CHESTERFIELD CO PBLC SCHS,3,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,253,0.22793148880105396,-0.1541501976284585
Carver College and Career Academy,01605,alg10910,2.5384615384615383,0.7698412698412698,0.47058823529411764,0,0.3235294117647059,0.43873517786561267,0.1541501976284585,0.3359683794466403,21,CHESTERFIELD CO PBLC SCHS,42,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,253,0.03185305742850497,-0.1541501976284585
Carver College and Career Academy,01605,chem,2.5384615384615383,0.6863905325443787,0.15384615384615385,0.23076923076923078,0.46153846153846156,0.43873517786561267,0.1541501976284585,0.3359683794466403,21,CHESTERFIELD CO PBLC SCHS,13,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,253,-0.2848890240194588,0.07661903314077229
Carver College and Career Academy,01605,bio,2.5384615384615383,0.7037706611570248,0.4431818181818182,0.17045454545454544,0.22727272727272727,0.43873517786561267,0.1541501976284585,0.3359683794466403,21,CHESTERFIELD CO PBLC SCHS,88,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,253,0.004446640316205508,0.016304347826086946
Carver College and Career Academy,01605,gate,2.5384615384615383,0.5511111111111111,0.6,0,0.26666666666666666,0.43873517786561267,0.1541501976284585,0.3359683794466403,21,CHESTERFIELD CO PBLC SCHS,15,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,253,0.1612648221343873,-0.1541501976284585
Carver College and Career Academy,01605,apany,2.5384615384615383,0.40816326530612246,0.7142857142857143,0,0.2857142857142857,0.43873517786561267,0.1541501976284585,0.3359683794466403,21,CHESTERFIELD CO PBLC SCHS,7,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,253,0.27555053642010163,-0.1541501976284585
Carver College and Career Academy,01605,alg2,2.5384615384615383,0.7029478458049887,0.42857142857142855,0.19047619047619047,0.23809523809523808,0.43873517786561267,0.1541501976284585,0.3359683794466403,21,CHESTERFIELD CO PBLC SCHS,21,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,253,-0.010163749294184121,0.03632599284773197
Monacan High,01833,alg11112,2.5384615384615383,0.75,1,0,0,0.3027834351663272,0.09843856076035302,0.5207060420909708,21,CHESTERFIELD CO PBLC SCHS,2,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,1473,0.6972165648336728,-0.09843856076035302
Monacan High,01833,alg10910,2.5384615384615383,0.8105534616147589,0.46938775510204084,0,0.4081632653061225,0.3027834351663272,0.09843856076035302,0.5207060420909708,21,CHESTERFIELD CO PBLC SCHS,71,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,1473,0.16660431993571362,-0.09843856076035302
Monacan High,01833,chem,2.5384615384615383,0.6619822485207102,0.25000000000000006,0.14423076923076922,0.5,0.3027834351663272,0.09843856076035302,0.5207060420909708,21,CHESTERFIELD CO PBLC SCHS,208,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,1473,-0.052783435166327164,0.04579220847041619
Monacan High,01833,bio,2.5384615384615383,0.6455036117198281,0.32207207207207206,0.10585585585585586,0.4864864864864865,0.3027834351663272,0.09843856076035302,0.5207060420909708,21,CHESTERFIELD CO PBLC SCHS,444,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,1473,0.019288636905744838,0.007417295095502832
Monacan High,01833,gate,2.5384615384615383,0.5738261128588138,0.22371967654986524,0,0.6037735849056604,0.3027834351663272,0.09843856076035302,0.5207060420909708,21,CHESTERFIELD CO PBLC SCHS,371,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,1473,-0.07906375861646198,-0.09843856076035302
Monacan High,01833,apany,2.5384615384615383,0.5629330652772767,0.21052631578947367,0.09418282548476455,0.6177285318559557,0.3027834351663272,0.09843856076035302,0.5207060420909708,21,CHESTERFIELD CO PBLC SCHS,361,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,1473,-0.09225711937685355,-0.004255735275588479
Monacan High,01833,alg2,2.5384615384615383,0.6544839451199237,0.2623574144486692,0.1444866920152091,0.5019011406844106,0.3027834351663272,0.09843856076035302,0.5207060420909708,21,CHESTERFIELD CO PBLC SCHS,263,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,1473,-0.040426020717657996,0.04604813125485609
Midlothian High,02006,alg11112,2.5384615384615383,NaN,0,0,NaN,0.09994086339444117,0.05381431105854524,0.7303370786516854,21,CHESTERFIELD CO PBLC SCHS,0,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,1691,-0.09994086339444117,-0.05381431105854524
Midlothian High,02006,alg10910,2.5384615384615383,0.7671682098765431,0.16981132075471703,0,0.6226415094339622,0.09994086339444117,0.05381431105854524,0.7303370786516854,21,CHESTERFIELD CO PBLC SCHS,72,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,1691,0.06987045736027586,-0.05381431105854524
Midlothian High,02006,chem,2.5384615384615383,0.39758945796890044,0.07049608355091384,0.04960835509138381,0.7676240208877284,0.09994086339444117,0.05381431105854524,0.7303370786516854,21,CHESTERFIELD CO PBLC SCHS,383,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,1691,-0.02944477984352732,-0.004205955967161432
Midlothian High,02006,bio,2.5384615384615383,0.42144491496482483,0.07851239669421488,0.045454545454545456,0.75,0.09994086339444117,0.05381431105854524,0.7303370786516854,21,CHESTERFIELD CO PBLC SCHS,484,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,1691,-0.021428466700226287,-0.008359765603999786
Midlothian High,02006,gate,2.5384615384615383,0.3856525597006286,0.06055900621118013,0,0.7748447204968945,0.09994086339444117,0.05381431105854524,0.7303370786516854,21,CHESTERFIELD CO PBLC SCHS,644,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,1691,-0.03938185718326104,-0.05381431105854524
Midlothian High,02006,apany,2.5384615384615383,0.3802866353857448,0.054613935969868174,0.03766478342749529,0.7777777777777778,0.09994086339444117,0.05381431105854524,0.7303370786516854,21,CHESTERFIELD CO PBLC SCHS,531,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,1691,-0.04532692742457299,-0.016149527631049952
Midlothian High,02006,alg2,2.5384615384615383,0.3832731600872843,0.0647887323943662,0.05352112676056338,0.7774647887323943,0.09994086339444117,0.05381431105854524,0.7303370786516854,21,CHESTERFIELD CO PBLC SCHS,355,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,1691,-0.03515213100007497,-2.931842979818633e-4
Cosby High,02661,alg11112,2.5384615384615383,0.75,0,0,1,0.13150684931506848,0.0593607305936073,0.7219178082191781,21,CHESTERFIELD CO PBLC SCHS,2,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,2190,-0.13150684931506848,-0.0593607305936073
Cosby High,02661,alg10910,2.5384615384615383,0.6702451530203495,0.21874999999999997,0,0.6718749999999999,0.13150684931506848,0.0593607305936073,0.7219178082191781,21,CHESTERFIELD CO PBLC SCHS,79,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,2190,0.08724315068493149,-0.0593607305936073
Cosby High,02661,chem,2.5384615384615383,0.45377094405452556,0.1273885350318471,0.052547770700636945,0.7229299363057324,0.13150684931506848,0.0593607305936073,0.7219178082191781,21,CHESTERFIELD CO PBLC SCHS,628,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,2190,-0.004118314283221375,-0.006812959892970358
Cosby High,02661,bio,2.5384615384615383,0.4099238232101253,0.14991181657848326,0.04056437389770723,0.7513227513227513,0.13150684931506848,0.0593607305936073,0.7219178082191781,21,CHESTERFIELD CO PBLC SCHS,567,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,2190,0.018404967263414784,-0.018796356695900074
Cosby High,02661,gate,2.5384615384615383,0.47062128511960344,0.12434141201264488,0,0.7102212855637513,0.13150684931506848,0.0593607305936073,0.7219178082191781,21,CHESTERFIELD CO PBLC SCHS,949,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,2190,-0.007165437302423597,-0.0593607305936073
Cosby High,02661,apany,2.5384615384615383,0.46845290108711857,0.11651728553137004,0.06530089628681178,0.7119078104993598,0.13150684931506848,0.0593607305936073,0.7219178082191781,21,CHESTERFIELD CO PBLC SCHS,781,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,2190,-0.014989563783698437,0.005940165693204477
Cosby High,02661,alg2,2.5384615384615383,0.4464762767735787,0.12845849802371542,0.07509881422924901,0.7272727272727273,0.13150684931506848,0.0593607305936073,0.7219178082191781,21,CHESTERFIELD CO PBLC SCHS,506,1,0.6549712280280134,1,0,0,10218,316236,0.3225203358698504,2190,-0.0030483512913530575,0.015738083635641706
Clarke County High,02100,alg11112,1.7692307692307692,NaN,0,0,NaN,0.029673590504451043,0.09198813056379822,0.8071216617210683,22,CLARKE CO PBLC SCHS,0,4,0.3642667931677164,0,1,0,12034,14034,0.24469160768452983,674,-0.029673590504451043,-0.09198813056379822
Clarke County High,02100,alg10910,1.7692307692307692,0.7162629757785466,0,0,0.5714285714285714,0.029673590504451043,0.09198813056379822,0.8071216617210683,22,CLARKE CO PBLC SCHS,17,4,0.3642667931677164,0,1,0,12034,14034,0.24469160768452983,674,-0.029673590504451043,-0.09198813056379822
Clarke County High,02100,chem,1.7692307692307692,0.2163636363636363,0.01818181818181818,0.07272727272727272,0.8818181818181818,0.029673590504451043,0.09198813056379822,0.8071216617210683,22,CLARKE CO PBLC SCHS,110,4,0.3642667931677164,0,1,0,12034,14034,0.24469160768452983,674,-0.011491772322632862,-0.019260857836525494
Clarke County High,02100,bio,1.7692307692307692,0.3737569888829517,0.032490974729241874,0.10108303249097472,0.779783393501805,0.029673590504451043,0.09198813056379822,0.8071216617210683,22,CLARKE CO PBLC SCHS,277,4,0.3642667931677164,0,1,0,12034,14034,0.24469160768452983,674,0.002817384224790831,0.009094901927176505
Clarke County High,02100,gate,1.7692307692307692,0.1171875,0,0,0.9375,0.029673590504451043,0.09198813056379822,0.8071216617210683,22,CLARKE CO PBLC SCHS,16,4,0.3642667931677164,0,1,0,12034,14034,0.24469160768452983,674,-0.029673590504451043,-0.09198813056379822
Clarke County High,02100,apany,1.7692307692307692,0.18055992450456138,0.0106951871657754,0.0374331550802139,0.9037433155080213,0.029673590504451043,0.09198813056379822,0.8071216617210683,22,CLARKE CO PBLC SCHS,187,4,0.3642667931677164,0,1,0,12034,14034,0.24469160768452983,674,-0.01897840333867564,-0.05455497548358432
Clarke County High,02100,alg2,1.7692307692307692,0.3555555555555555,0.044444444444444446,0.05925925925925926,0.7925925925925926,0.029673590504451043,0.09198813056379822,0.8071216617210683,22,CLARKE CO PBLC SCHS,135,4,0.3642667931677164,0,1,0,12034,14034,0.24469160768452983,674,0.014770853939993403,-0.032728871304538956
Colonial Beach High,01957,alg11112,NA,NaN,0,0,NaN,0.18468468468468469,0.03153153153153153,0.6621621621621622,202,COLONIAL BEACH PBLC SCHS,0,NA,0.5426513671875001,NA,NA,NA,11669,NA,0.5140625,222,-0.18468468468468469,-0.03153153153153153
Colonial Beach High,01957,alg10910,NA,0.7453703703703703,0.4,0,0.43333333333333335,0.18468468468468469,0.03153153153153153,0.6621621621621622,202,COLONIAL BEACH PBLC SCHS,36,NA,0.5426513671875001,NA,NA,NA,11669,NA,0.5140625,222,0.21531531531531534,-0.03153153153153153
Colonial Beach High,01957,alg108,NA,0.5484764542936289,0.15789473684210525,0,0.631578947368421,0.18468468468468469,0.03153153153153153,0.6621621621621622,202,COLONIAL BEACH PBLC SCHS,19,NA,0.5426513671875001,NA,NA,NA,11669,NA,0.5140625,222,-0.02678994784257943,-0.03153153153153153
Colonial Beach High,01957,chem,NA,0.4450000000000001,0.05,0,0.7,0.18468468468468469,0.03153153153153153,0.6621621621621622,202,COLONIAL BEACH PBLC SCHS,20,NA,0.5426513671875001,NA,NA,NA,11669,NA,0.5140625,222,-0.1346846846846847,-0.03153153153153153
