id,Name,Census Total,Census Urban,Census Rural,Census Percent Rural,urbanicity,AB_IB_Dual_Enrollment,Hispanic_any,AI_NA,Asian,Black_or_AA,NW_OPI,White,Two or more races,Full time enrollment,Part time enrollment,Total Enrollment,Total FRPL,Total EL,Total sped,n_ Standard Diploma,n_STD FRPL,n_STD LEP,n_ STD NA,n_STD Asian,n_STD Black,n_STD Latinx,n_STD White,n_Advanced,n_ADV FRPL,n_ADV LEP,n_ADV NA,n_ADV Asian,n_ADV Black,n_ADV Latinx,n_ADV White,n_ Applied,GED,Cohort (2017) size,n_NA,n_Asian,n_Black,n_Latinx,n_White,n_FRPL,n_Drop out,n_NA DO,n_Asian DO,n_Black DO,n_Latinx DO,n_White DO,census,SUM,Division num,urban,mostly,rural,pct_frpl,pct_apib,pct_adv,pct_hisp,pct_ai_na,pct_asian,pct_black,pct_nwopi,pct_white,pct_2more,d_index,metric
32,Fluvanna County,25691,9528,16163,62.9,mostly_rural,392,200,9,13,541,4,2576,246,3589,0,3589,1290,14,413,114,49,0,0,0,27,11,67,154,27,0,0,0,16,0,117,0,1,269,0,0,43,18,187,102,0,0,0,0,0,0,25691,33,5,0,1,0,0.3594315965449986,0.10922262468654222,0.5724907063197026,0.05572582892170521,0.0025076623014767345,0.003622178879910839,0.1507383672332126,0.0011145165784341043,0.7177486765115632,0.06854276957369741,0.4542906520426605,2.5384615384615383
33,Franklin County,56159,6048,50111,89.2,mostly_rural,379,503,13,34,575,1,5693,451,7270,0,7270,3258,1021,1170,195,92,0,0,0,20,12,155,270,62,0,0,0,19,13,226,18,1,504,0,0,46,30,407,246,28,0,0,0,0,22,56159,24,6,0,1,0,0.4481430536451169,0.052132049518569465,0.52734375,0.06918844566712518,0.0017881705639614855,0.004676753782668501,0.07909215955983494,1.375515818431912e-4,0.7830811554332875,0.06203576341127923,0.3718677688452289,1.8461538461538463
34,Frederick County,78305,43246,35059,44.8,urban,643,2283,29,207,571,9,9803,623,13525,0,13525,4528,645,1722,371,130,0,0,0,26,52,279,580,73,0,0,16,24,47,477,23,6,1011,0,18,51,108,800,334,25,0,0,0,0,19,78305,26,4,1,0,0,0.3347874306839187,0.047541589648798524,0.5771144278606966,0.16879852125693162,0.002144177449168207,0.015304990757855822,0.0422181146025878,6.654343807763402e-4,0.7248059149722735,0.04606284658040666,0.44202000676504455,2
35,Giles County,17286,5828,11458,66.3,mostly_rural,200,38,3,6,32,0,2365,40,2484,0,2484,1120,66,389,109,41,0,0,0,0,0,98,61,14,0,0,0,0,0,57,17,4,207,0,0,0,0,188,96,11,0,0,0,0,11,17286,NA,NA,0,1,0,0.45088566827697263,0.08051529790660225,0.30198019801980197,0.015297906602254429,0.0012077294685990338,0.0024154589371980675,0.01288244766505636,0,0.9520933977455717,0.01610305958132045,0.0928515769848123,NA
36,Gloucester County,36858,13038,23820,64.6,mostly_rural,332,289,15,32,370,7,4356,370,5439,0,5439,2018,73,709,214,76,0,0,0,19,0,174,172,31,0,0,0,11,0,150,20,7,446,0,0,34,14,368,181,31,0,0,0,0,22,36858,27,3,0,1,0,0.3710240853097996,0.061040632469203895,0.38738738738738737,0.053134767420481704,0.0027578599007170436,0.0058834344548630265,0.06802721088435375,0.001287001287001287,0.8008825151682295,0.06802721088435375,0.3464646135830439,2.076923076923077
37,Goochland County,21717,653,21064,97,mostly_rural,364,191,3,30,424,1,1859,117,2625,4,2629,634,23,333,51,17,0,0,0,10,0,36,134,38,0,0,0,25,12,91,0,0,198,0,0,42,15,133,70,0,0,0,0,0,0,21717,25,1,0,1,0,0.24115633320654242,0.13845568657284138,0.7243243243243244,0.07265119817421073,0.0011411182959300114,0.011411182959300114,0.16127805249144161,3.803727653100038e-4,0.7071129707112971,0.04450361354127044,0.4665902062910965,1.9230769230769231
38,Grayson County,15533,19,15514,99.9,mostly_rural,151,122,2,1,46,1,1395,17,1584,0,1584,1040,175,252,77,48,0,0,0,0,0,74,56,16,0,0,0,0,0,52,0,0,139,0,0,0,0,132,87,0,0,0,0,0,0,15533,NA,NA,0,1,0,0.6565656565656566,0.09532828282828283,0.42105263157894735,0.07702020202020202,0.0012626262626262627,6.313131313131314e-4,0.02904040404040404,6.313131313131314e-4,0.8806818181818182,0.010732323232323232,0.21750650443832245,NA
39,Greene County,18403,8973,9430,51.2,mostly_rural,144,298,6,59,233,2,2285,229,3112,0,3112,1294,48,405,109,44,0,0,0,0,10,85,123,24,0,0,0,10,0,93,0,0,240,0,0,19,19,186,96,0,0,0,0,0,0,18403,26,5,0,1,0,0.4158097686375321,0.04627249357326478,0.5301724137931034,0.09575835475578406,0.0019280205655526992,0.018958868894601542,0.07487146529562982,6.426735218508997e-4,0.734254498714653,0.07358611825192803,0.440316446494538,2
40,Greensville County,12243,1590,10653,87,mostly_rural,170,102,4,36,1691,0,491,58,2382,0,2382,1516,66,357,68,47,0,0,0,55,0,0,66,28,0,0,0,38,0,25,11,0,173,0,0,123,0,39,124,13,0,0,0,0,0,12243,NA,NA,0,1,0,0.6364399664147775,0.07136859781696053,0.4177215189873418,0.042821158690176324,0.0016792611251049538,0.015113350125944584,0.7099076406381192,0,0.20612930310663308,0.02434928631402183,0.4508840795188657,NA
41,Halifax County,36241,8306,27935,77.1,mostly_rural,943,164,3,32,2160,0,2580,162,5101,0,5101,3740,530,968,190,123,0,0,0,98,0,86,139,49,0,0,0,46,0,88,24,5,379,0,0,175,12,189,257,21,0,0,10,0,0,36241,38,8,0,1,0,0.7331895706724172,0.1848657126053715,0.36675461741424803,0.03215055871397765,5.88119976475201e-4,0.00627327974906881,0.42344638306214466,0,0.5057831797686728,0.03175847872966085,0.5627945764139177,2.923076923076923
42,Hanover County,99863,60831,39032,39.1,urban,1982,871,51,356,1666,5,14302,749,18000,0,18000,3731,2811,2480,457,46,0,0,0,68,12,357,1023,32,0,0,15,86,22,867,19,17,1573,0,22,163,46,1290,186,40,0,0,0,0,23,99863,34,1,1,0,0,0.20727777777777778,0.11011111111111112,0.6574550128534704,0.04838888888888889,0.0028333333333333335,0.019777777777777776,0.09255555555555556,2.777777777777778e-4,0.7945555555555556,0.04161111111111111,0.3556427037037037,2.6153846153846154
43,Henrico County,306935,293832,13103,4.3,urban,4532,4980,107,5616,18539,49,20011,2323,51625,0,51625,18484,637,6242,1455,781,36,0,53,800,112,433,1983,368,0,9,220,479,101,1099,116,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306935,34,1,1,0,0,0.35804358353510896,0.08778692493946731,NA,0.09646489104116222,0.002072639225181598,0.10878450363196127,0.3591089588377724,9.491525423728814e-4,0.3876222760290557,0.04499757869249395,0.6976202045623764,2.6153846153846154
44,Henry County,54151,21270,32881,60.7,mostly_rural,522,1049,6,24,1589,0,4271,540,7479,0,7479,4602,NA,1055,204,124,0,0,0,56,19,115,246,115,0,0,0,41,40,148,25,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54151,14,6,0,1,0,0.6153229041315684,0.06979542719614922,NA,0.1402593929669742,8.022462896109105e-4,0.003208985158443642,0.21246155903195615,0,0.5710656504880331,0.07220216606498195,0.6038473174815946,1.0769230769230769
45,Highland County,2321,0,2321,100,rural,14,3,0,0,0,1,202,3,209,0,209,142,136,43,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2321,NA,NA,0,0,1,0.6794258373205742,0.06698564593301436,NA,0.014354066985645933,0,0,0,0.004784688995215311,0.9665071770334929,0.014354066985645933,0.0654289050159108,NA
46,Isle of Wight County,35270,15030,20240,57.4,mostly_rural,531,194,21,72,1473,8,3433,273,5474,2,5476,1880,53,681,171,74,0,0,0,56,0,97,220,33,0,0,0,57,0,146,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35270,29,2,0,1,0,0.34331628926223523,0.09696859021183346,NA,0.035427319211102995,0.003834915997078159,0.013148283418553688,0.2689919649379109,0.0014609203798392988,0.626917457998539,0.04985390796201607,0.5306875983440058,2.230769230769231
48,King George County,23584,6323,17261,73.2,mostly_rural,653,291,21,49,780,9,3011,372,4533,2,4535,1535,33,550,125,32,0,0,0,23,11,80,167,22,0,0,0,28,0,118,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23584,22,3,0,1,0,0.33847850055126794,0.1439911797133407,NA,0.06416758544652701,0.004630650496141125,0.010804851157662623,0.17199558985667035,0.001984564498346196,0.6639470782800441,0.08202866593164278,0.518603487027882,1.6923076923076923
49,King and Queen County,6945,0,6945,100,rural,0,43,6,4,289,1,433,57,833,0,833,444,NA,123,12,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6945,NA,NA,0,0,1,0.5330132052821128,0,NA,0.05162064825930372,0.007202881152460984,0.004801920768307323,0.3469387755102041,0.0012004801920768306,0.5198079231692677,0.06842737094837935,0.602009831543662,NA
50,King William County,15935,2675,13260,83.2,mostly_rural,199,59,43,15,351,1,1638,87,2194,0,2194,803,20,303,83,29,0,0,0,16,NA,63,69,14,0,0,0,0,0,58,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15935,22,3,0,1,0,0.3659981768459435,0.09070191431175935,NA,0.026891522333637192,0.01959890610756609,0.0068368277119416595,0.15998176845943482,4.5578851412944393e-4,0.7465815861440291,0.03965360072926162,0.41429513989009553,1.6923076923076923
51,Lancaster County,11391,0,11391,100,rural,0,16,3,11,634,3,435,52,1154,0,1154,701,NA,149,47,33,0,0,0,34,0,12,38,15,0,0,0,18,0,17,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11391,18,3,0,0,1,0.6074523396880416,0,NA,0.01386481802426343,0.0025996533795493936,0.009532062391681109,0.5493934142114385,0.0025996533795493936,0.37694974003466203,0.045060658578856154,0.5537486971696668,1.3846153846153846
